カテゴリ,関西ペイント品番,関西ペイント色名,ロックペイント品番,ロックペイント色名,日本ペイント品番,日本ペイント色名,イサム塗料品番,イサム塗料色名,番号
ブルー系,627,ローヤルブルーコンク,0083,インダンスレンブルー,456,スレンブルー,0224,スレンブルー,60
ブルー系,365,ファーストブルー,0078,ディープブルー,465,フレッシュブルー,0265,ファーストブルー,61
ブルー系,622,ナチュラルブルー,0079,シアニンブルー,624,オリエントブルー,0250,オリエントブルー,62
ブルー系,614,スペシャルブルー,0071,フレッシュブルー,396,シャニンブルー,0235/0232,スペシャルブルー/シャニンブルー,63
ブルー系,,,0081,パーマネントブルー,,,,,64
ブルー系,617,フレッシュブルー,0080,ロイヤルブルー,607,バカンスブルー,0215,フレッシュブルー,65
ブルー系,600,コバルトブルー,,,609,コバルトブルー,3205,コバルトブルー,66
ブルー系,621,オリエンタルブルー,0082,オリエントブルー,555,サワーブルー,0209,パーマネントブルーニュー,67
ブルー系,583,チンチングブルー,0278,ミロリーブルー,303,ダークブルー,3200,ダークブルー,68
ブルー系,638,ディープブルー,,,569,カスタムブルー,0207,ノンフラップブルー,69
ブルー系,640,ビビットブルー,,,612,ヘルメスブルー,,,70
ブルー系,647,ファイニスブルー,,,,,0234,マザリンブルー,71
ブルー系,652,プルシャンブルー,,,,,0212,コスミックブルー,72
ブラック系,,,,,,,3510,コールブラック,73
ブラック系,450,パワーブラック,0250/0251,ゼットブラック/スーパーブラック,480,スーパーブラック,,,74
ブラック系,400,ディープブラック,0234,ブラック,630,ディープブラック,3520,ディープブラック,75
ブラック系,411,スペシャルブラック,,,489,ブルーブラック,0559,チンチングブラック,76
ブラック系,582,チンチングブラック,0030,チンチングブラック,411,チンチングブラック,3500,ブラック,77
ブラック系,649,スーパーブラック,,,611,チンチングブラックNP,3515,ピッチブラック,78
ブラック系,,,,,640,ウルトラブラック,,,79
メタリックベース系-普通タイプ,,,,,011,メタリック極細目,0720,メタリック極細目,80
メタリックベース系-普通タイプ,101,メタリック細目,0085,メジアムメタリック,012,メタリック細目,0700,メタリック細目,81
メタリックベース系-普通タイプ,,,,,,,0730,メタリック超細目,82
メタリックベース系-普通タイプ,,,,,,,0723,メタリックフェースホワイト,83
メタリックベース系-普通タイプ,109,メタリック粗目,0087,コースメタリック,014,メタリック荒目,0703,メタリック荒目,84
メタリックベース系-普通タイプ,,,0089,エキストラコースメタリック,,,0704,メタリック極荒目,85
メタリックベース系-ホワイトタイプ,,,,,031,ホワイトメタリック極細目,0708,メタリックホワイト極細目,86
メタリックベース系-ホワイトタイプ,111,メタリックホワイト,0094,ホワイトメタリック,034,ホワイトメタリック荒目,0705,メタリックスノーホワイト,87
メタリックベース系-ホワイトタイプ,122,メタリックメイクホワイト,,,,,0709,メタリックホワイト,88
メタリックベース系-ホワイトタイプ,123,メタリックニューメイクホワイト,,,032,ホワイトメタリック細目,0711,メタリックスターブライト細目,89
メタリックベース系-ホワイトタイプ,,,,,033,ホワイトメタリック中目,,,90
メタリックベース系-ホワイトタイプ,124,メタリックスノーファイン,0086,ファインメタリック,042,スノーメタリック細目,0714,メタリックスノーホワイト細目,91
メタリックベース系-ホワイトタイプ,126,メタリックスペシャルファイン,,,,,,,92
メタリックベース系-ホワイトタイプ,136,メタリックスペシャルホワイト,4001,アストラルメタリック,041,スノーメタリック極細目,,,93
メタリックベース系-ホワイトタイプ,222,メタリックハイホワイト,,,,,,,94
メタリックベース系-ホワイトタイプ,,,4002,プラチナムメタリック,,,,,95
メタリックベース系-スパークタイプ,836,メタリックフラッシュホワイト細目,4006,スノーメジアムメタリック,021,ハイスパーク極細目,0741,メタリックシルキー細目,96
メタリックベース系-スパークタイプ,202,サンメタリック,0088,ブライトメタリック,,,0706,メタリックスペシャル,97
メタリックベース系-スパークタイプ,835,メタリックフラッシュホワイト,,,,,0731,メタリックシルキー,98
メタリックベース系-スパークタイプ,834,メタリックフラッシュホワイト粗目,4007,スノーコースメタリック,022,ハイスパーク細目,,,99
メタリックベース系-スパークタイプ,220,ニューサンメタリック,,,023,ハイスパーク中目,0716,メタリックブライト,100
メタリックベース系-スパークタイプ,252,スターメタリック,0099,シャイニーメタリック,029,ハイスパーク大荒目,0715,メタリックスタープライト,101
メタリックベース系-スパークタイプ,210,サンメタリック極粗目,0093,スパークルメタリック,024,ハイスパーク荒目,,,102
メタリックベース系-スパークタイプ,253,グランドメタリック,0092,グラマーメタリック,026,ハイスパーク極荒目,0726,メタリックハイブライト,103
メタリックベース系-スパークタイプ,221,サンメタリックブライト,0098,ハイホワイトメタリック,028,ハイスパークスーパーグラマー,0730,メタリックスーパーブライト,104
メタリックベース系-スパークタイプ,,,0091,ハイブライトメタリック,,,0717,メタリックメジアムブライト,105
メタリックベース系-スパークタイプ,,,0097,ファインブライトM,,,,,106
メタリックベース系-その他,850,メタリックゴールド,0452,ゴールドメジアムメタリック,,,0781,メタリックベースゴールド,107
メタリックベース系-その他,855,メタリックグリーン,0451,グリーンメジアムメタリック,130,カラーメタリック2GR,0755,メタリックグリーン,108
メタリックベース系-その他,865,メタリックブルー,0450,ブルーメジアムメタリック,132,カラーメタリック2BM,0765,メタリックベースブルー,109
パール系-ホワイト細目,215,パールベースⅢ,0307,パールベース2W,072,マイカベース2W,3054,TCパールコンク4T,110
パール系-ホワイト細目,243,パールベースⅣ,0311,パールベース4W,073,マイカベース4W,3053,TCパールコンク3T,111
パール系-ホワイト細目,242,パール スーパーファイン,0320,パールベース5W,061,マイカベース6W,,,112
パール系-ホワイト細目,219,パール ファインホワイト,,,,,,,113
パール系-ホワイト荒目,217,パール ホワイト,0301,パールベースW,062,マイカベース1W,3051,TCパールコンクT,114
パール系-ホワイト荒目,247,パール ブライトホワイト,0309,パールベース3W,074,マイカベース3W,3052,TCパールコンク2T,115
パール系-ホワイト荒目,241,パール スーパーホワイト,,,078,マイカベース5W,3055,TCパールコンク5T,116
パール系-ホワイト荒目,,,,,,,3056,TCパールコンク6T,117
パール系-ホワイト荒目,,,0326,パールベース6W,,,,,118
パール系-ブルー,216,パール ブルー,0304,パールベースB,063,マイカベース2B,0292,TCパールコンク2B,119
パール系-ブルー,244,パール ファインブルー,0308,パールベース2B,065,マイカベース3B,0291,TCパールコンクB,120
パール系-ブルー,262,パール ペールブルー,0310,パールベース3B,069,マイカベース4B,0293,TCパールコンク3B,121
パール系-ブルー,,,0321,パールベース4B,071,マイカベース5B,,,122
パール系-ブルー,,,,,086,マイカベース6B,,,123
パール系-グリーン,245,パール グリーン,0316,パールベースG,077,マイカベース2G,0391,TCパールコンクG,124
パール系-グリーン,246,パール ファイングリーン,0317,パールベース2G,080,マイカベース3G,0393,TCパールコンク3G,125
パール系-グリーン,,,,,085,マイカベース4G,,,126
パール系-グリーン,,,0323,パールベースBG,093,マイカベース5G,,,127
パール系-グリーン,,,0327,パールベース3G,094,マイカベース6G,,,128
パール系-ゴールド,214,パールベースⅡ,0302,パールベースY,064,マイカベース2Y,0199,TCパールコンクHG,129
パール系-ゴールド,260,パール ライトゴールド,0312,パールベース2Y,075,マイカベース3Y,0198,TCパールコンク2HG,130
パール系-ゴールド,265,パール ファインゴールド,0325,パールベース3Y,076,マイカベース4Y,,,131
パール系-ゴールド,,,,,082,マイカベース5Y,,,132
パール系-ゴールド,,,,,088,マイカベース6Y,,,133
パール系-ゴールド,,,0322,パールベースオレンジ,,,,,134
パール系-パープル,263,パール ライラック,0315,パールベースV,079,マイカベース2V,0670,TCパールコンクV,135
パール系-パープル,,,0306,パールベースP,068,マイカベース2PK,0692,TCパールコンク2R,136
パール系-パープル,261,パール ペールレッド,,,081,マイカベース3PK,0696,TCパールコンク6R,137
パール系-パープル,,,,,089,マイカベース4PK,,,138
パール系-レッド,248,パール レッド,0303,パールベースR,066,マイカベース2R,0691,TCパールコンクR,139
パール系-レッド,249,パール ニューレッド,0314,パールベース2R,070,マイカベース3R,0693,TCパールコンク3R,140
パール系-レッド,213,パール ファインレッド,0319,パールベース3R,083,マイカベース4R,0694,TCパールコンク4R,141
パール系-レッド,,,,,,,0695,TCパールコンク5R,142
パール系-レッド,,,,,,,0697,TCパールコンク7R,143
パール系-ブラウン,212,パール ブロンズ,0305,パールベースC,067,マイカベース2K,0491,TCパールコンクC,144
パール系-ブラウン,218,パール ブラウン,0313,パールベース2C,084,マイカベース3K,0492,TCパールコンク2C,145
パール系-ブラウン,264,パール レッドブラウン,,,,,,,146
パール系-グリーン,268,パール ダークグリーン,,,,,,,147
パール系-グリーン,269,パール ブルーグリーン,,,093,マイカベース5G,392,TCパールコンク2G,148
その他,651,グリントベース,0401,グラファイトベースコース,171,アンチークカラー2BL,0557,TCライトグラファイト,149
その他,,,0402,グラファイトベースメジアム,175,アンチークカラー3BL,0558,TCグラファイト,150
その他,267,パール サファイヤブルー,0318,パールベースS,166,シルバーカラー2SL,0750,TCマイカS,151
その他,653,ファインホワイト,0201,オパールホワイト,172,オパールカラー2PL,3018,TCオパールホワイト,152
その他,655,ブルーゴールド,0404,クリスタルブルー,180,フタロカラー2MR,0203,TCブルーカッパー,153
その他,660,ブライトマイカ,0403,M.I.Oベース,090,ネオマイカベース2M,0591,TCパールベースBL,154
その他,,,0324,パールベース2S,183,パレスブルーカラー,,,155
その他,657,アイアンブラウンマイカ,0405,クリスタルブラウン,186,インディアンフレーク2FE,0770,メタリックベースカッパ,156
その他,571,アイアンオキサイド,,,,,0398,TCパールコンクGR,157
その他,266,パールブロンズレッド,,,,,0752,TCパールコンク2S,158
その他,,ホワイト,,ホワイト,,ホワイト,,ホワイト,159
